year,lds_onset_pentad,lds_cessation_pentad,lds_onset_day,lds_onset_date,lds_cessation_day,lds_cessation_date,lds_duration(days),total_rainfall(mm),no_of_rain_days,rain_day_frequency(%),lds_mean_daily_rainfall(mm/day),lds_rainfall_per_rainday(mm/rainday),lds_mean_daily_rainfall_index(%)
1985,192,202,196,1985-07-15,205,1985-07-24,10,35.93,8,80.0,3.59,4.49,-56.63
1986,192,236,196,1986-07-15,240,1986-08-28,45,119.47,19,42.22,2.65,6.29,-64.06
1987,176,191,176,1987-06-25,195,1987-07-14,20,119.67,17,85.0,5.98,7.04,-34.7
1988,196,231,196,1988-07-14,235,1988-08-22,40,135.28,23,57.5,3.38,5.88,-65.33
1989,215,232,216,1989-08-04,235,1989-08-23,20,94.51,18,90.0,4.73,5.25,-42.81
1990,213,231,216,1990-08-04,235,1990-08-23,20,74.87,16,80.0,3.74,4.68,-53.03
1991,206,242,206,1991-07-25,245,1991-09-02,40,233.03,29,72.5,5.83,8.04,-33.39
1992,217,247,221,1992-08-08,250,1992-09-06,30,54.24,12,40.0,1.81,4.52,-78.5
1993,182,227,186,1993-07-05,230,1993-08-18,45,138.79,35,77.78,3.08,3.97,-63.29
1994,200,221,201,1994-07-20,225,1994-08-13,25,100.03,17,68.0,4.0,5.88,-48.28
1995,216,226,216,1995-08-04,230,1995-08-18,15,129.32,15,100.0,8.62,8.62,1.76
1996,192,206,196,1996-07-14,210,1996-07-28,15,57.67,8,53.33,3.84,7.21,-48.01
1997,196,222,196,1997-07-15,225,1997-08-13,30,69.39,10,33.33,2.31,6.94,-69.4
1998,191,251,191,1998-07-10,255,1998-09-12,65,313.71,40,61.54,4.83,7.84,-44.56
1999,205,221,206,1999-07-25,225,1999-08-13,20,88.63,12,60.0,4.43,7.39,-53.43
2000,185,207,186,2000-07-04,210,2000-07-28,25,99.61,14,56.0,3.98,7.12,-48.45
2001,181,246,181,2001-06-30,250,2001-09-07,70,190.83,34,48.57,2.73,5.61,-67.11
2002,201,206,201,2002-07-20,210,2002-07-29,10,65.04,8,80.0,6.5,8.13,-11.69
2003,195,217,196,2003-07-15,220,2003-08-08,25,95.0,12,48.0,3.8,7.92,-47.36
2004,202,231,206,2004-07-24,235,2004-08-22,30,59.06,18,60.0,1.97,3.28,-76.21
2005,201,231,201,2005-07-20,235,2005-08-23,35,68.86,9,25.71,1.97,7.65,-74.09
2006,211,230,211,2006-07-30,230,2006-08-18,20,148.53,11,55.0,7.43,13.5,4.8
2007,205,222,206,2007-07-25,225,2007-08-13,20,146.54,11,55.0,7.33,13.32,-16.41
2008,210,237,211,2008-07-29,240,2008-08-27,30,156.52,22,73.33,5.22,7.11,-44.23
2009,236,240,236,2009-08-24,240,2009-08-28,5,61.07,5,100.0,12.21,12.21,39.56
2010,192,216,196,2010-07-15,220,2010-08-08,25,102.77,16,64.0,4.11,6.42,-51.56
2011,216,231,216,2011-08-04,235,2011-08-23,20,76.01,9,45.0,3.8,8.45,-49.71
2012,182,226,186,2012-07-04,230,2012-08-17,45,170.48,26,57.78,3.79,6.56,-56.63
2013,205,230,206,2013-07-25,230,2013-08-18,25,31.75,7,28.0,1.27,4.54,-78.72
2014,195,227,196,2014-07-15,230,2014-08-18,35,163.73,18,51.43,4.68,9.1,-38.76
2015,192,226,196,2015-07-15,230,2015-08-18,35,65.19,14,40.0,1.86,4.66,-73.24
2016,176,227,176,2016-06-24,230,2016-08-17,55,253.33,38,69.09,4.61,6.67,-41.68
2017,186,191,186,2017-07-05,195,2017-07-14,10,52.9,6,60.0,5.29,8.82,-23.55
2018,207,217,211,2018-07-30,220,2018-08-08,10,3.52,1,10.0,0.35,3.52,-95.93
2019,206,226,206,2019-07-25,230,2019-08-18,25,115.6,10,40.0,4.62,11.56,-43.14
2020,193,237,196,2020-07-14,240,2020-08-27,45,90.02,23,51.11,2.0,3.91,-75.59
2021,196,211,196,2021-07-15,215,2021-08-03,20,39.03,5,25.0,1.95,7.81,-78.53
2022,186,202,186,2022-07-05,205,2022-07-24,20,64.79,10,50.0,3.24,6.48,-53.84
2023,211,221,211,2023-07-30,225,2023-08-13,15,51.23,6,40.0,3.42,8.54,-59.09
2024,195,225,196,2024-07-14,225,2024-08-12,30,35.74,9,30.0,1.19,3.97,-82.94
