year,lds_onset_pentad,lds_cessation_pentad,lds_onset_day,lds_onset_date,lds_cessation_day,lds_cessation_date,lds_duration(days),total_rainfall(mm),no_of_rain_days,rain_day_frequency(%),lds_mean_daily_rainfall(mm/day),lds_rainfall_per_rainday(mm/rainday),lds_mean_daily_rainfall_index(%),sst_ja_mean,sst_ja_anom,sst_jj_anom,sst_jja_anom
1985,192,202,196,1985-07-15,205,1985-07-24,10,35.93,8,80.0,3.59,4.49,-56.63,25.64501953125,-0.3545551300048828,-0.510685920715332,-0.412509282430013
1986,192,236,196,1986-07-15,240,1986-08-28,45,119.47,19,42.22,2.65,6.29,-64.06,25.040802001953125,-0.9587726593017578,-0.6031627655029297,-0.7210909525553385
1987,176,191,176,1987-06-25,195,1987-07-14,20,119.67,17,85.0,5.98,7.04,-34.7,26.430068969726562,0.4304933547973633,0.3083076477050781,0.34124310811360675
1988,196,231,196,1988-07-14,235,1988-08-22,40,135.28,23,57.5,3.38,5.88,-65.33,26.001441955566406,0.0018663406372070312,0.34061527252197266,0.1350104014078776
1989,215,232,216,1989-08-04,235,1989-08-23,20,94.51,18,90.0,4.73,5.25,-42.81,26.077795028686523,0.07821941375732422,-0.022446632385253906,-0.010623931884765625
1990,213,231,216,1990-08-04,235,1990-08-23,20,74.87,16,80.0,3.74,4.68,-53.03,25.36684226989746,-0.6327333450317383,-0.2699003219604492,-0.45181020100911456
1991,206,242,206,1991-07-25,245,1991-09-02,40,233.03,29,72.5,5.83,8.04,-33.39,25.71734619140625,-0.2822303771972656,-0.1093435287475586,-0.1760845184326172
1992,217,247,221,1992-08-08,250,1992-09-06,30,54.24,12,40.0,1.81,4.52,-78.5,25.12384033203125,-0.8757362365722656,-0.6905097961425781,-0.7733440399169922
1993,182,227,186,1993-07-05,230,1993-08-18,45,138.79,35,77.78,3.08,3.97,-63.29,25.73200225830078,-0.26757335662841797,-0.2864999771118164,-0.3157755533854167
1994,200,221,201,1994-07-20,225,1994-08-13,25,100.03,17,68.0,4.0,5.88,-48.28,25.788131713867188,-0.21144485473632812,-0.28651905059814453,-0.19537480672200522
1995,216,226,216,1995-08-04,230,1995-08-18,15,129.32,15,100.0,8.62,8.62,1.76,26.126220703125,0.12664508819580078,0.12327003479003906,0.08256594340006511
1996,192,206,196,1996-07-14,210,1996-07-28,15,57.67,8,53.33,3.84,7.21,-48.01,25.486154556274414,-0.5134210586547852,-0.23680782318115234,-0.3609307607014974
1997,196,222,196,1997-07-15,225,1997-08-13,30,69.39,10,33.33,2.31,6.94,-69.4,25.40485954284668,-0.5947160720825195,-0.7959318161010742,-0.8239631652832031
1998,191,251,191,1998-07-10,255,1998-09-12,65,313.71,40,61.54,4.83,7.84,-44.56,26.153079986572266,0.1535043716430664,0.2658538818359375,0.18561363220214844
1999,205,221,206,1999-07-25,225,1999-08-13,20,88.63,12,60.0,4.43,7.39,-53.43,26.41661834716797,0.41704273223876953,0.11731147766113281,0.2759011586507161
2000,185,207,186,2000-07-04,210,2000-07-28,25,99.61,14,56.0,3.98,7.12,-48.45,25.84554672241211,-0.15402793884277344,-0.3094043731689453,-0.2905750274658203
2001,181,246,181,2001-06-30,250,2001-09-07,70,190.83,34,48.57,2.73,5.61,-67.11,25.53544044494629,-0.46413516998291016,-0.4492483139038086,-0.5014146169026693
2002,201,206,201,2002-07-20,210,2002-07-29,10,65.04,8,80.0,6.5,8.13,-11.69,26.175752639770508,0.1761770248413086,0.4028902053833008,0.3188610076904297
2003,195,217,196,2003-07-15,220,2003-08-08,25,95.0,12,48.0,3.8,7.92,-47.36,26.199569702148438,0.19999408721923828,0.0803079605102539,0.16204198201497397
